"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"212","J'Mon Moore (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Damion Ratley (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Daurice Fountain (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Keke Coutee (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"216","DaeSean Hamilton (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"217","Emmanuel Butler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Krishawn Hogan (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"219","Javon Wims (CHI)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"220","Equanimeous St. Brown (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Richie James (SF)","0","0","0","0","0","0","0","1","0","0","0","1","0.0","0.0","0.0%"
"222","Robert Davis (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Justin Watson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"224","Darrius Shepherd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Omar Bayless (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Freddie Swain (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Aaron Parker (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Chris Finke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Austin Mack (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
